Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Laakdal;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;693;877;877;;877;;877;;877;;877;;877;;877;
Laarne;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;787;;787;
Lanaken;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Landen;1250;1250;1250;1250;1250;1250;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Langemark-Poelkapelle;1900;1900;1900;1900;1900;1900;1900;1900;1900;1900;1196;1196;1196;;1196;;1196;;1196;;1196;;1196;;1196;
Lebbeke;1350;1350;1450;1450;1450;1450;1450;1450;1450;1450;900;900;1040;;1040;;1040;;1040;;1040;;1040;;1040;
Lede;1300;1300;1300;1300;1300;1300;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Ledegem;1600;1600;1600;1600;1600;1600;1600;1600;1600;1600;1007,56;1000;1000;;1000;;1000;;1000;;1000;;1000;;1000;
Lendelede;1550;1550;1550;1750;1750;1900;1900;1900;1900;1875;1180;1180;1180;;1180;;1180;;1180;;1180;;1180;;1250;
Lennik;1125;1125;1125;1125;1125;1125;1125;1125;1125;1125;708;708;708;;708;;708;;708;;708;;708;;878,69;
Leopoldsburg;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Leuven;1400;1400;1400;1400;1400;1400;1400;1400;1400;1400;880;880;975;;975;;975;;975;;975;;975;;975;2 categorieën: 975 / 1170
Lichtervelde;1350;1350;1350;1350;1350;1600;1600;1600;1600;1600;1008;1008;1008;;1008;;1008;;1008;;1008;;1008;;1208;
Liedekerke;1450;1450;1450;1450;1450;1650;1650;1650;1650;1650;1038;1038;1038;;1038;;1038;;1038;;1038;;1038;;1038;
Lier;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;787;;995;5 categorieën: 995 / 1054,70  / 1084,55 / 1104,45  /1121,61
Lierde;1200;1200;1200;1200;1200;1200;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Lievegem (vanaf 2019);;;;;;;;;;;;834;834;;834;;834;;834;;834;;834;;834;
Lille;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;756;
Linkebeek;1200;1200;1200;1200;1200;1200;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;882;
Lint;980;980;1400;1400;1400;1400;1400;1400;1400;1400;882;882;882;;882;;882;;882;;882;;882;;873,18;4 categorieën: 873,18  /970,20 / 1049,58 / 1266,03
Linter;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;920;920;;920;;920;;920;;920;;920;;920;
Lochristi (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;850;;850;
Lochristi (t/m 2024);1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;630;630;850;;850;;850;;850;;850;;;;;
Lokeren (vanaf 2025);;;;;;;;;;;;;;;;;;;;;;;787;;787;
Lokeren (t/m 2024);1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;787;787;787;;787;;787;;787;;787;;;;;
Lommel;1150;1150;1150;1150;1150;1150;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Londerzeel;1150;1150;1150;1300;1300;1300;1550;1550;1550;1550;976,07;976,07;976,07;;976,07;;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250;976,07;2 categorieën: 976,07 / 1250
Lo-Reninge;1700;1700;1700;1700;1700;1700;1700;1700;1700;1700;1070;1070;1070;;1070;;1070;;1070;;1070;;1070;;1070;
Lovendegem (t/m 2018);1100;1100;1100;1100;1100;1100;1325;1325;1325;1325;834;;;;;;;;;;;;;;;
Lubbeek;975;975;975;975;975;975;975;975;975;975;614;614;614;;614;;614;;614;;614;;614;;614;
Lummen;1325;1325;1325;1325;1325;1325;1325;1325;1325;1325;834,38;834,38;835;;835;;835;;835;;835;;835;;835;
Maarkedal;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;819;819;819;;819;;819;;819;;819;;819;;819;
Maaseik;1850;1850;1650;1650;1650;1650;1650;1650;1650;1650;1039;1122;1122;;1122;;1122;;1122;;1122;;1122;;1122;
Maasmechelen;1650;1650;1650;1650;1650;1650;1650;1650;1650;1650;1039;1039;1039;;1039;;1039;;1039;;1039;;1039;;989;
